Montenegro,MNE,621383,159.949982538949
Mongolia,MNG,2839073,124.184126297563
Mariana,MNP,53855,0
Mozambique,MOZ,25833752,48.0042155703902
Mauritania,MRT,3889880,102.527455859821
Mauricio,MUS,1258653,123.239818611816
Malawi,MWI,16362567,32.3301594425862
Malasia,MYS,29716965,144.685030924255
Namibia,NAM,2303315,118.434213296922
Nueva Caledonia,NCL,262000,93.7636454369659
Níger,NER,17831270,39.2922096967855
Nigeria,NGA,173615345,73.2919616062739
Nicaragua,NIC,6080478,111.980176558488
Noruega,NOR,5080166,116.268422032689
Nepal,NPL,27797457,76.8497960083183
Nueva Zelandia,NZL,4442100,105.775694716164
Omán,OMN,3632444,154.645907824044
Pakistán,PAK,182142594,70.1303759844334
Panamá,PAN,3864170,162.974299784947
Perú,PER,30375603,98.0829812662485
Filipinas,PHL,98393574,104.502321462578
Palau,PLW,20918,85.7873601682761
Papua Nueva Guinea,PNG,7321262,40.9765420224
Polonia,POL,38514479,149.078543937738
Puerto Rico,PRI,3615086,83.6464209430966
Corea República Popular Democrática de,PRK,24895480,9.72064005192911
Portugal,PRT,10457295,113.035602040543
Paraguay,PRY,6802295,103.689960520677
Polinesia Francesa,PYF,276831,85.575676134537
Qatar,QAT,2168673,152.64417457127
Rumania,ROU,19981358,105.582921651343
Federación de Rusia,RUS,143499861,152.835352449659
Rwanda,RWA,11776522,56.8007939865437
Arabia Saudita,SAU,28828870,184.204236933324
Sudán,SDN,37964306,72.8523129067604
Senegal,SEN,14133280,92.9279827471047
Singapur,SGP,5399200,155.922211297408
Islas Salomón,SLB,561231,57.5707685427213
Sierra Leona,SLE,6092075,65.6590734683995
El Salvador,SLV,6340454,136.187440205386
San Marino,SMR,31448,116.954973289239
Somalia,SOM,10495583,49.382678408622
Serbia,SRB,7164132,119.391710437835
Sudán del Sur,SSD,11296173,25.2583596232104
Santo Tomé y Príncipe,STP,192993,64.939661023975
Suriname,SUR,539276,161.067802016036
República Eslovaca,SVK,5413393,113.911155561892
Eslovenia,SVN,2059953,110.21121169577
Suecia,SWE,9600379,124.39525007823
Swazilandia,SWZ,1249514,71.4677866754594
Sint Maarten (Dutch part),SXM,39689,0
Seychelles,SYC,89173,147.342682953101
República Árabe Siria,SYR,22845550,56.1289421926444
Islas Turcas y Caicos,TCA,33098,0
Chad,TCD,12825314,35.5643768253939
Togo,TGO,6816982,62.5349018084542
Tailandia,THA,67010502,140.051181828186
Tayikistán,TJK,8207834,91.8281242042663
Turkmenistán,TKM,5240072,116.893431998644
Timor-Leste,TLS,1180069,57.3759421791736
Tonga,TON,105323,54.5939633318458
Trinidad y Tobago,TTO,1341151,144.940651723781
Túnez,TUN,10886500,115.603579861438
Turquía,TUR,74932641,92.9649710331176
Tuvalu,TUV,9876,34.4268934791413
Tanzanía,TZA,49253126,55.7179314872319
Uganda,UGA,37578876,44.0906907380625
Ucrania,UKR,45489600,138.064654890862
Uruguay,URY,3407062,154.618465997977
Estados Unidos,USA,316128839,95.529234810398
Uzbekistán,UZB,30243200,74.3067816654548
San Vicente y las Granadinas,VCT,109373,114.633410439505
Venezuela,VEN,30405207,101.614434001387
Islas Vírgenes (EE.UU.),VIR,104737,0
Viet Nam,VNM,89708900,130.89043354871
Vanuatu,VUT,252763,50.3412287399659
Ribera Occidental y Gaza,PSE,4169506,73.7405331813942
Samoa,WSM,190372,0
Yemen Rep. del,YEM,24407381,69.0147787671279
Sudáfrica,ZAF,53157490,145.644021264917
Congo República Democrática del,COD,67513677,41.8165640718991
Zambia,ZMB,14538640,71.504631794996
Zimbabwe,ZWE,14149648,96.3498667952729
